index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
5614,( == ( - ( - ( - ( / ( + v0 40 ) 32 ) ( * v1 4 ) ) ( * v2 2 ) ) ( / ( - v0 995 ) 32 ) ) ( - ( - ( - ( / ( + v0 40 ) 32 ) ( * v1 4 ) ) ( * v2 2 ) ) ( / ( - v0 995 ) 32 ) ) ),1/0,true,1,-1,1,32,0,0.000120085,Goal 1 Matched,
5615,( == ( min ( + ( * ( + ( / ( + ( - ( - ( min ( + ( + ( min ( * v0 64 ) 188 ) ( + ( * v1 252 ) v2 ) ) 54 ) ( + v3 v2 ) ) ( * v0 64 ) ) v2 ) 14 ) 4 ) ( * v0 16 ) ) 4 ) v2 ) ( + v4 15 ) ) ( min ( + ( * ( + ( / ( + ( - ( - ( min ( + ( + ( min ( * v0 64 ) 188 ) ( + ( * v1 252 ) v2 ) ) 54 ) ( + v3 v2 ) ) ( * v0 64 ) ) v2 ) 14 ) 4 ) ( * v0 16 ) ) 4 ) v2 ) ( + v4 15 ) ) ),1/0,true,1,-1,1,68,0,0.000163443,Goal 1 Matched,
5616,( && ( && ( && ( && ( && ( && 1 ( <= v0 ( + 0 v0 ) ) ) ( >= ( + v0 62 ) ( + ( - ( + 63 0 ) 1 ) v0 ) ) ) ( <= ( + ( + ( * v1 4 ) v2 ) 0 ) ( + ( + ( * v1 4 ) 0 ) v2 ) ) ) ( >= ( + ( + ( * v1 4 ) v2 ) 3 ) ( + ( + ( * v1 4 ) ( - ( + 4 0 ) 1 ) ) v2 ) ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) ),1/0,true,1,-1,3,190,46,0.000870839,Goal 1 Matched,
5617,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * ( + ( * v0 28 ) 0 ) 4 ) v1 ) 0 ) ( + ( * v0 112 ) v1 ) ) ) ( >= ( + ( + ( * ( + ( * v0 28 ) 27 ) 4 ) v1 ) 3 ) ( + ( + ( * v0 112 ) 111 ) v1 ) ) ) ( <= ( + ( + ( min ( * v2 16 ) 109 ) ( + ( min ( * v3 3 ) 13 ) v4 ) ) v5 ) ( + ( + ( min ( * v2 16 ) 109 ) ( + ( min ( * v3 3 ) 13 ) v4 ) ) v5 ) ) ) ( >= ( + ( + ( min ( * v2 16 ) 109 ) ( + ( min ( * v3 3 ) 13 ) v4 ) ) v5 ) ( + ( + ( min ( * v2 16 ) 109 ) ( + ( min ( * v3 3 ) 13 ) v4 ) ) v5 ) ) ) ( <= v6 v6 ) ) ( >= v6 v6 ) ),1/0,true,1,-1,4,2464,63,0.003512414,Goal 1 Matched,
5618,( == ( + ( * v0 17 ) ( + ( * v1 63 ) ( + v2 v3 ) ) ) ( + ( * v0 17 ) ( + ( * v1 63 ) ( + v2 v3 ) ) ) ),1/0,true,1,-1,1,24,0,0.000112824,Goal 1 Matched,
5619,( == ( + ( max ( min ( + ( min ( * v0 276 ) 272 ) v1 ) 1501 ) 502 ) ( * v2 112 ) ) ( + ( max ( min ( + ( min ( * v0 276 ) 272 ) v1 ) 1501 ) 502 ) ( * v2 112 ) ) ),1/0,true,1,-1,1,38,0,0.000144392,Goal 1 Matched,
5620,( == ( / ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 500 ) ( / v1 500 ) ) 256 ) 640 ) 282 ) ( / ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 500 ) ( / v1 500 ) ) 256 ) 640 ) 282 ) ),1/0,true,1,-1,1,24,0,0.00011176799999999999,Goal 1 Matched,
5621,( == ( min ( / ( + ( + v0 v1 ) 15 ) 16 ) ( + ( + ( min ( * v2 12 ) 20 ) v3 ) 11 ) ) ( min ( / ( + ( + v0 v1 ) 15 ) 16 ) ( + ( + ( min ( * v2 12 ) 20 ) v3 ) 11 ) ) ),1/0,true,1,-1,1,30,0,0.000123492,Goal 1 Matched,
5622,( == ( min ( - 1003 ( * ( + ( * v0 4 ) v1 ) 4 ) ) ( + ( - ( * ( / ( - ( + v2 v3 ) 1 ) 8 ) 8 ) ( + ( * ( + ( * v0 4 ) v1 ) 4 ) v4 ) ) 12 ) ) ( min ( - 1003 ( * ( + ( * v0 4 ) v1 ) 4 ) ) ( + ( - ( * ( / ( - ( + v2 v3 ) 1 ) 8 ) 8 ) ( + ( * ( + ( * v0 4 ) v1 ) 4 ) v4 ) ) 12 ) ) ),1/0,true,1,-1,1,40,0,0.00012991400000000002,Goal 1 Matched,
5623,( == ( - ( + v0 v1 ) ( min ( + v1 12 ) v2 ) ) ( - ( + v0 v1 ) ( min ( + v1 12 ) v2 ) ) ),1/0,true,1,-1,1,20,0,0.00010814100000000001,Goal 1 Matched,
5624,( == ( * ( / ( * v0 -24 ) 4 ) 4 ) ( * v0 -24 ) ),1/0,true,1,-1,4,80,4,0.000546439,Goal 1 Matched,
