index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
5820,( / ( + ( + v0 v1 ) 6 ) 8 ),(/ (+ (+ v0 v1) 6) 8),true,(/ (+ (+ v0 v1) 6) 8),-1,4,17,0,0.000220261,Saturation,,( / ( + ( + v0 v1 ) 6 ) 8 ),4.0
5821,( - ( + v0 1 ) 1 ),v0,true,v0,-1,44,207637,130896,7.21676459,Time Limit : 6.937093075,,v0,11.0
5822,( % ( + v0 1 ) 2 ),"(""%"" (+ v0 1) 2)",true,"(""%"" (+ v0 1) 2)",-1,2,6,0,0.000125191,Saturation,,( % ( + v0 1 ) 2 ),2.0
5823,( - ( * ( % ( / ( + v0 v1 ) 2 ) 4 ) ( + v2 5 ) ) v3 ),"(- (* (""%"" (/ (+ v0 v1) 2) 4) (+ v2 5)) v3)",true,"(- (* (""%"" (/ (+ v0 v1) 2) 4) (+ v2 5)) v3)",-1,19,186,49,0.005074283,Saturation,,( - ( * ( % ( / ( + v1 v0 ) 2 ) 4 ) ( + v2 5 ) ) v3 ),8.0
5824,( min ( min ( min ( / v0 8 ) ( - ( * v1 2 ) 1 ) ) ( - v2 15 ) ) v3 ),(min (/ v0 8) (min (- (* v1 2) 1) (min (+ v2 -15) v3))),true,(min (/ v0 8) (min (- (* v1 2) 1) (min (+ v2 -15) v3))),-1,100,52078,12056,5.003287036000001,Time Limit : 5.001008587,,( min ( min ( min ( / v0 8 ) ( - ( * v1 2 ) 1 ) ) ( - v2 15 ) ) v3 ),6.0
5825,( < ( - ( / ( + ( - v0 v1 ) 255 ) 256 ) 1 ) ( + ( - ( / ( - ( + v2 v0 ) v1 ) 256 ) 1 ) 1 ) ),(< (/ (+ (- v0 v1) -1) 256) (/ (- (+ v0 v2) v1) 256)),true,(< (/ (+ (- v0 v1) -1) 256) (/ (- (+ v0 v2) v1) 256)),-1,102,91736,22994,5.006494501999997,Time Limit : 5.002322937,,( < ( / ( - ( - v0 v1 ) 1 ) 256 ) ( / ( - ( + v2 v0 ) v1 ) 256 ) ),42.0
5826,( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) v3 ),(max (max (/ (+ (+ v0 v1) 30) 32) (- 2 (* -2 v2))) v3),true,(max (max (/ (+ (+ v0 v1) 30) 32) (- 2 (* -2 v2))) v3),-1,96,80302,29287,5.009420330000001,Time Limit : 5.002150549,,( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) v3 ),11.0
5827,( && ( <= ( - v0 6 ) v1 ) ( <= ( + ( / ( - v0 v1 ) 8 ) 1 ) ( max ( / ( + ( - v0 v1 ) 1 ) 8 ) 0 ) ) ),-9,true,-9,-1,29,18,28186,3.239504751,Saturation,,( && ( <= ( - v0 6 ) v1 ) ( <= ( + ( / ( - v0 v1 ) 8 ) 1 ) ( max ( / ( + ( - v0 v1 ) 1 ) 8 ) 0 ) ) ),11.0
5828,( + ( - ( + ( * v0 2 ) 2 ) ( - ( * v1 2 ) 1 ) ) 1 ),(+ (* v0 2) (+ (* -2 v1) 4)),true,(+ (* v0 2) (+ (* -2 v1) 4)),-1,21,364,154,0.011952587,Saturation,,( + ( * ( - v0 v1 ) 2 ) 4 ),9.0
5829,( + ( - ( + 64 0 ) 1 ) v0 ),(+ 63 v0),true,(+ 63 v0),-1,2,7,0,0.00009968499999999999,Saturation,,( + v0 63 ),6.0
5830,( - ( / ( - v0 82 ) 32 ) v1 ),(- (/ (+ v0 -82) 32) v1),true,(- (/ (+ v0 -82) 32) v1),-1,10,44,1,0.000854188,Saturation,,( - ( / ( - v0 82 ) 32 ) v1 ),4.0
5831,( / ( - ( - v0 7 ) ( - v1 256 ) ) 8 ),(/ (+ (* v1 -1) (+ v0 249)) 8),true,(/ (+ (* v1 -1) (+ v0 249)) 8),-1,8,71,0,0.0007162240000000001,Saturation,,( / ( + ( - v0 v1 ) 249 ) 8 ),10.0
5832,( + ( / ( - v0 v1 ) 8 ) 1 ),(+ (/ (- v0 v1) 8) 1),true,(+ (/ (- v0 v1) 8) 1),-1,5,24,0,0.000315385,Saturation,,( + ( / ( - v0 v1 ) 8 ) 1 ),27.0
5833,( / ( + v0 255 ) 2 ),(/ (+ v0 255) 2),true,(/ (+ v0 255) 2),-1,2,6,0,0.00010694900000000001,Saturation,,( / ( + v0 255 ) 2 ),2.0
5834,( max ( max ( / ( + ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) 1 ) 2 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) 5 ) ) 2 ) ) ( / ( + 7 ( - ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) 7 ) ) 2 ) ),(max (+ 2 (/ (/ (min (+ (+ v0 v1) -6) (+ v1 (+ (min v0 8) (* (/ (+ (- (/ (+ v0 v1) 2) (/ (+ v1 (min v0 8)) 2)) 4) 8) 16)))) 2) 2)) (+ 2 (max (* 2 (min v2 (+ (+ v3 (* 8 (/ (- v2 v3) 8))) 7))) (/ (min (+ (+ v0 v1) -6) (+ (+ (+ v1 (min v0 8)) (* (/ (+ 2 (+ (/ (+ (+ v0 v1) 2) 4) (/ (+ v1 (min v0 8)) -4))) 8) 32)) 12)) 4)))),true,(max (+ 2 (/ (/ (min (+ (+ v0 v1) -6) (+ v1 (+ (min v0 8) (* (/ (+ (- (/ (+ v0 v1) 2) (/ (+ v1 (min v0 8)) 2)) 4) 8) 16)))) 2) 2)) (+ 2 (max (* 2 (min v2 (+ (+ v3 (* 8 (/ (- v2 v3) 8))) 7))) (/ (min (+ (+ v0 v1) -6) (+ (+ (+ v1 (min v0 8)) (* (/ (+ 2 (+ (/ (+ (+ v0 v1) 2) 4) (/ (+ v1 (min v0 8)) -4))) 8) 32)) 12)) 4)))),-1,73,105542,11114,5.033189370999999,Time Limit : 5.027928369,,( max ( / ( + ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) 1 ) 2 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) 5 ) ) 2 ) ),42.0
