index,start_expression,end_expression,result,best_expr,total_time,class,condition
18,( <= ( min ( min ( min ( + ( min ( - v0 ( + ( * v1 144 ) v2 ) ) v3 ) 1 ) v3 ) ( + v3 2 ) ) ( + ( min ( min ( min v4 v5 ) ( - ( / ( - ( + v6 v7 ) 29 ) 2 ) ( + ( * v1 144 ) v2 ) ) ) v8 ) 16 ) ) 14 ),1/0,false,(! (&& (< (+ -2 (+ v2 (* v1 144))) (min (/ (+ v6 (+ v7 -29)) 2) (+ (min v4 v5) (+ v2 (* v1 144))))) (&& (< (- 14 v0) (+ (* v1 -144) (- 1 v2))) (< 14 (min v3 (+ v8 16)))))),3.284728132,-1,0
19,( <= ( / ( - ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( - v2 1 ) 8 ) 8 ) ) ( - v3 8 ) ) 15 ) 2 ) ( + ( / v4 2 ) ( * ( / ( + ( - ( / ( + ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( + v2 7 ) 8 ) 8 ) ) v3 ) 1 ) 2 ) ( / v4 2 ) ) 1 ) 14 ) 14 ) ) ),1/0,false,(<= (/ (- (* (/ v4 2) -2) (- (+ 15 (* 8 (/ (+ v2 -1) -8))) (min (/ (+ (min v0 101) (- v1 163)) 32) (+ (+ v3 -8) (* 8 (/ (+ v2 -1) -8)))))) 28) (/ (+ (/ (+ 1 (min v3 (+ (/ (+ (min v0 101) (- v1 163)) 32) (* 8 (/ (+ v2 7) 8))))) 2) (+ 1 (/ v4 -2))) 14)),3.268292908,-1,0
20,( <= ( - ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( - v2 1 ) 8 ) 8 ) ) ( - v3 8 ) ) 18 ) ( + ( * ( / ( - ( - ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( + v2 7 ) 8 ) 8 ) ) v3 ) v4 ) 1 ) 26 ) 26 ) v4 ) ),1/0,false,(<= (min (- (+ (/ (+ (min v0 101) (+ v1 -163)) 32) (+ (* 8 (/ (- v2 1) 8)) -18)) v4) (- (+ v3 -26) v4)) (* 26 (/ (+ (min v3 (+ (/ (+ (min v0 101) (+ v1 -163)) 32) (* 8 (/ (+ v2 7) 8)))) (- -1 v4)) 26))),3.286290348,-1,0
21,( <= ( / ( + ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( - v2 1 ) 8 ) 8 ) ) ( - v3 8 ) ) 5 ) 2 ) ( + ( / v4 2 ) ( * ( / ( + ( - ( / ( + ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( + v2 7 ) 8 ) 8 ) ) v3 ) 1 ) 2 ) ( / v4 2 ) ) 1 ) 4 ) 4 ) ) ),1/0,false,(<= (/ (+ (/ (+ (/ (+ (min v0 101) (+ v1 -163)) 32) (min (+ (* 8 (/ (+ v2 -1) 8)) 5) (- (+ 5 (- -5 (- 3 v3))) (/ (+ (min v0 101) (+ v1 -163)) 32)))) 2) (/ v4 -2)) 4) (/ (+ 1 (/ (+ (min v3 (+ (/ (+ (min v0 101) (+ v1 -163)) 32) (* 8 (/ (+ v2 7) 8)))) (+ 1 (* (/ v4 2) -2))) 2)) 4)),3.259529492,-1,0
22,( && ( <= ( + ( min ( / ( - ( + ( min v0 101 ) v1 ) 227 ) 64 ) ( / ( - v2 29 ) 2 ) ) 1 ) ( / ( min ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( - v2 8 ) ) 2 ) ) ( <= ( / ( - ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( - ( - v2 ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ) 1 ) 8 ) 8 ) ) ( - v2 8 ) ) 21 ) 2 ) ( min ( / ( - v2 29 ) 2 ) ( + ( / ( - ( + ( min v0 101 ) v1 ) 227 ) 64 ) ( * ( / ( - ( / ( + v2 1 ) 2 ) ( / ( - ( + ( min v0 101 ) v1 ) 227 ) 64 ) ) 16 ) 16 ) ) ) ) ),1/0,false,(&& (<= (+ (min (* 8 (/ (- (/ (+ (min v0 101) (- v1 163)) -32) (- 1 v2)) 8)) (+ (- v2 8) (/ (+ (min v0 101) (- v1 163)) -32))) (+ (/ (+ (min v0 101) (- v1 163)) 32) -21)) (* 2 (+ (/ (+ (min v0 101) (+ v1 -227)) 64) (* 16 (/ (+ (/ (+ v2 1) 2) (/ (+ (min v0 101) (+ v1 -227)) -64)) 16))))) (<= (min (/ (+ (min v0 101) (- v1 163)) 64) (/ (+ v2 -27) 2)) (/ (/ (+ (min v0 101) (- v1 163)) 32) 2))),3.398313081,-1,0
23,( && ( <= ( + ( min ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ( / ( - v2 23 ) 4 ) ) 1 ) ( / ( min ( / ( - ( + ( min v0 11 ) v1 ) 17 ) 4 ) ( / ( - v2 13 ) 2 ) ) 2 ) ) ( <= ( / ( - ( min ( / ( - v2 13 ) 2 ) ( + ( / ( - ( + ( min v0 11 ) v1 ) 17 ) 4 ) ( * ( / ( - ( / ( min ( / ( + ( + v0 v1 ) 5 ) 2 ) v3 ) 2 ) ( / ( - ( + ( min v0 11 ) v1 ) 17 ) 4 ) ) 8 ) 8 ) ) ) 5 ) 2 ) ( min ( / ( - v2 23 ) 4 ) ( + ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ( * ( / ( - ( / ( + v2 5 ) 4 ) ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ) 8 ) 8 ) ) ) ) ),1/0,false,"(&& (<= (min (/ (+ (min v0 11) (+ v1 -17)) 8) (/ (- 19 v2) -4)) (/ (min (/ (+ v1 (+ v0 -17)) 4) (min (/ (- v2 13) 2) (/ (+ v1 -6) 4))) 2)) (<= (+ (min (- (+ (/ (+ (min v0 11) (+ v1 -17)) -4) (/ (/ (+ v0 (+ v1 5)) 2) 2)) (""%"" (+ (/ (+ (min v0 11) (+ v1 -17)) -4) (/ (/ (+ v0 (+ v1 5)) 2) 2)) 8)) (min (+ (/ (- v2 13) 2) (/ (+ (min v0 11) (+ v1 -17)) -4)) (- (/ (+ (- (- 17 v1) (min v0 11)) (* -4 (/ v3 -2))) 4) (""%"" (/ (+ (- (- 17 v1) (min v0 11)) (* -4 (/ v3 -2))) 4) 8)))) (/ (- -20 (- (- 17 v1) (min v0 11))) 4)) (+ (* -2 (/ (+ (min v0 11) (- v1 25)) -8)) (* -2 (max (* (/ (- (/ (+ v2 5) 4) (/ (+ (min v0 11) (- v1 25)) 8)) 8) -8) (- (/ (+ (min v0 11) (- v1 25)) 8) (/ (- v2 23) 4)))))))",3.412608239,-1,0
24,( && ( && ( <= ( + ( min ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ( / ( - v2 23 ) 4 ) ) 1 ) ( / ( min ( / ( - ( + ( min v0 11 ) v1 ) 17 ) 4 ) ( / ( - v2 13 ) 2 ) ) 2 ) ) ( <= ( / ( - ( min ( / ( - v2 13 ) 2 ) ( + ( / ( - ( + ( min v0 11 ) v1 ) 17 ) 4 ) ( * ( / ( - ( / ( min ( / ( + ( + v0 v1 ) 5 ) 2 ) v3 ) 2 ) ( / ( - ( + ( min v0 11 ) v1 ) 17 ) 4 ) ) 8 ) 8 ) ) ) 5 ) 2 ) ( min ( / ( - v2 23 ) 4 ) ( + ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ( * ( / ( - ( / ( + v2 5 ) 4 ) ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ) 8 ) 8 ) ) ) ) ) ( <= ( / ( + v4 1 ) 4 ) ( + ( * ( / ( - ( / ( + v4 5 ) 4 ) v5 ) 2 ) 2 ) v5 ) ) ),1/0,false,"(&& (&& (<= (min (/ (+ (min v0 11) (+ v1 -17)) 8) (/ (+ v2 -19) 4)) (/ (max (/ (+ (min v0 11) (+ v1 -17)) -4) (/ (+ v2 -13) -2)) -2)) (<= (- (+ (/ (+ (min v0 11) (+ v1 -17)) 4) -5) (- (* (/ (+ (min v0 11) (+ v1 -25)) 8) 2) (max (* -16 (/ (+ (/ (+ v2 5) 4) (/ (+ (min v0 11) (+ v1 -25)) -8)) 8)) (* (* (+ (/ (- v2 23) 4) (/ (+ (min v0 11) (+ v1 -25)) -8)) 2) -1)))) (max (- (+ (/ (+ (min v0 11) (+ v1 -17)) 4) (/ (max (/ (+ v0 (+ v1 5)) -2) (* v3 -1)) 2)) (""%"" (+ (/ (+ (min v0 11) (+ v1 -17)) 4) (/ (max (/ (+ v0 (+ v1 5)) -2) (* v3 -1)) 2)) -8)) (+ (/ (+ (min v0 11) (+ v1 -17)) 4) (/ (+ v2 -13) -2))))) (<= (/ (+ (/ (+ 1 v4) 4) (* v5 -1)) 2) (/ (+ (/ (+ 5 v4) 4) (* v5 -1)) 2)))",3.448693122,-1,0
25,( && ( <= ( + ( min ( / ( - ( + ( min v0 11 ) v1 ) 41 ) 16 ) ( / ( - v2 43 ) 8 ) ) 1 ) ( / ( min ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ( / ( - v2 23 ) 4 ) ) 2 ) ) ( <= ( / ( - ( min ( / ( - v2 23 ) 4 ) ( + ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ( * ( / ( - ( / ( + v2 5 ) 4 ) ( / ( - ( + ( min v0 11 ) v1 ) 25 ) 8 ) ) 8 ) 8 ) ) ) 5 ) 2 ) ( min ( / ( - v2 43 ) 8 ) ( + ( / ( - ( + ( min v0 11 ) v1 ) 41 ) 16 ) ( * ( / ( - ( / ( + v2 13 ) 8 ) ( / ( - ( + ( min v0 11 ) v1 ) 41 ) 16 ) ) 8 ) 8 ) ) ) ) ),1/0,false,(&& (<= (min (/ (+ (min v0 11) (+ v1 -25)) 16) (/ (- v2 35) 8)) (/ (max (/ (+ (min v0 11) (+ v1 -25)) -8) (/ (+ v2 -23) -4)) -2)) (<= (min (/ (+ v2 -43) 4) (+ (* 8 (/ (+ (/ (+ v2 5) 4) (/ (+ (min v0 11) (+ v1 -25)) -8)) 8)) (+ (/ (+ (min v0 11) (+ v1 -25)) 8) -5))) (+ (* (/ (+ (min v0 11) (- v1 41)) 16) 2) (min (* 16 (/ (+ (/ (+ v2 13) 8) (/ (+ (min v0 11) (- v1 41)) -16)) 8)) (* (+ (/ (+ v2 -43) 8) (/ (+ (min v0 11) (- v1 41)) -16)) 2))))),3.249169353,-1,0
26,( <= ( / ( - ( min ( + ( / ( - ( + ( min v0 17 ) v1 ) 23 ) 4 ) ( * ( / ( - v2 1 ) 8 ) 8 ) ) ( - v3 8 ) ) 183 ) 2 ) ( + ( / v4 2 ) ( * ( / ( + ( - ( / ( + ( min ( + ( / ( - ( + ( min v0 17 ) v1 ) 23 ) 4 ) ( * ( / ( + v2 7 ) 8 ) 8 ) ) v3 ) 1 ) 2 ) ( / v4 2 ) ) 1 ) 98 ) 98 ) ) ),1/0,false,(<= (/ (+ (/ (+ (min (+ (/ (+ (min v0 17) (- v1 23)) 4) (* 8 (/ (+ v2 -1) 8))) (+ v3 -8)) -183) 2) (/ v4 -2)) 98) (/ (+ (/ (+ 1 (min v3 (+ (/ (+ (min v0 17) (- v1 23)) 4) (* 8 (/ (+ v2 7) 8))))) 2) (+ 1 (/ v4 -2))) 98)),3.284934289,-1,0
27,( && ( <= ( + ( min ( / ( - ( + ( min v0 17 ) v1 ) 31 ) 8 ) ( / ( - v2 13 ) 2 ) ) 1 ) ( / ( min ( / ( - ( + ( min v0 17 ) v1 ) 23 ) 4 ) ( - v2 8 ) ) 2 ) ) ( <= ( / ( - ( min ( + ( / ( - ( + ( min v0 17 ) v1 ) 23 ) 4 ) ( * ( / ( - ( - v2 ( / ( - ( + ( min v0 17 ) v1 ) 23 ) 4 ) ) 1 ) 8 ) 8 ) ) ( - v2 8 ) ) 5 ) 2 ) ( min ( / ( - v2 13 ) 2 ) ( + ( / ( - ( + ( min v0 17 ) v1 ) 31 ) 8 ) ( * ( / ( - ( / ( + v2 1 ) 2 ) ( / ( - ( + ( min v0 17 ) v1 ) 31 ) 8 ) ) 8 ) 8 ) ) ) ) ),1/0,false,(&& (<= (min (+ v2 -8) (+ (/ (+ (min v0 17) (+ v1 -23)) 4) (* 8 (/ (- (+ v2 -1) (/ (+ (min v0 17) (+ v1 -23)) 4)) 8)))) (+ 5 (+ (* (/ (+ (min v0 17) (+ v1 -31)) 8) 2) (* 16 (/ (+ (/ (+ v2 1) 2) (/ (+ (min v0 17) (+ v1 -31)) -8)) 8))))) (<= (min (/ (- (- 23 v1) (min v0 17)) -8) (/ (- v2 11) 2)) (/ (/ (+ (min v0 17) (+ v1 -23)) 4) 2))),3.400297325,-1,0
