index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
1,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( max ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 5 ) ) ( / v0 2 ) ) 2 ) ( + ( / v0 4 ) v1 ) ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(<= (+ -1024 (+ 2 (/ (+ v0 -6) -4))) (min (/ (min (/ v0 2) (+ (+ (""%"" v0 2) (/ v0 2)) (- 5 (* v1 2)))) -2) (min (/ v0 -4) (+ (/ (- 17 (""%"" v0 4)) -4) (+ 2 (/ (+ v0 -6) -4))))))",-1,22,92773,2181,3.010957413,Time Limit : 1.503000493,
2,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 20 ) ) ( / v0 2 ) ) 2 ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(<= (- -1024 (+ (/ (- v0 6) 4) (+ -2 v1))) (min (* -1 (/ (+ (min (* 2 v1) (+ (""%"" v0 2) 20)) (/ v0 2)) 2)) (+ (/ (+ (+ (+ (""%"" v0 4) -17) 8) -8) 4) (+ (* -1 (/ (- v0 6) 4)) (+ 2 (* -1 v1))))))",-1,21,94336,53,3.011528557,Time Limit : 1.5022891189999998,
3,( <= ( max ( / ( - 8 ( % ( + ( * v0 161 ) v1 ) 2 ) ) 2 ) ( + ( - ( / ( + ( min ( * v2 2 ) 159 ) ( + ( * v0 161 ) v1 ) ) 2 ) ( + ( / ( - ( + ( * v0 161 ) v1 ) 3 ) 2 ) v2 ) ) 2 ) ) 1024 ),1/0,false,"(<= -1024 (min (+ -4 (/ (""%"" (+ (* v0 161) v1) 2) 2)) (+ (/ (+ (+ (* v0 -161) (* v1 -1)) (max (* -2 v2) -159)) 2) (+ (/ (+ (* v0 161) (+ v1 -3)) 2) (+ -2 v2)))))",-1,14,92128,166,3.0096671300000004,Time Limit : 1.502045513,
4,( <= ( max ( max ( min v0 12 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 11 ) 1 ) ) 0 ) ( max ( min v0 12 ) 0 ) ),1/0,false,(<= (max (max (min v0 12) (+ 1 (min (min (min (min (/ (+ v1 -15) 16) (+ v2 -1)) (min (/ (+ v1 -14) 16) (/ (- v1 13) 16))) (min (min (/ (+ v1 -2) 16) (/ (+ v1 -1) 16)) (min (/ (+ v1 1) 16) (/ (+ v3 -2) 16)))) (min (min (min (/ (+ v5 -1) 16) (/ (+ v6 -2) 16)) (min (/ (+ v6 -1) 16) 11)) (min (min (/ (+ v3 -1) 16) (/ (+ v4 -2) 16)) (min (/ (+ v4 -1) 16) (/ (+ v5 -2) 16))))))) 0) (max (min v0 12) 0)),-1,24,64504,5057,3.036240808,Time Limit : 1.5303687259999998,
5,( <= ( max ( max ( min ( / ( + v0 131 ) 144 ) 2 ) ( + ( min ( / ( - ( min ( + ( min ( min ( min ( min ( min ( min ( - ( min ( / ( + ( + v1 v2 ) 25 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) v6 ) ( - ( min ( / ( + ( + v1 v2 ) 29 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) ) ( + v7 13 ) ) v8 ) v9 ) ( + v7 15 ) ) 128 ) v8 ) 140 ) 144 ) 1 ) 1 ) ) 0 ) ( max ( min ( / ( + v0 131 ) 144 ) 2 ) 0 ) ),1/0,false,(<= (max (max (min (/ (+ v0 131) 144) 2) (min 2 (/ (+ 132 (min (min (+ (min (/ (+ (+ v1 v2) 25) 2) v3) (+ (* -288 v4) (* -1 v5))) (min (+ (/ (+ (+ v1 v2) 29) 2) (+ (* -288 v4) (* -1 v5))) (min v6 (+ (* -288 v4) (+ v3 (* -1 v5)))))) (min (min (min v9 (+ v7 15)) (min (+ v7 13) v8)) (+ v8 -128)))) 144))) 0) (max (min (/ (+ v0 131) 144) 2) 0)),-1,18,81564,6339,3.007411614,Time Limit : 1.500408089,
6,( <= ( max ( max ( min v0 24 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 23 ) 1 ) ) 0 ) ( max ( min v0 24 ) 0 ) ),1/0,false,(<= (max (max (min v0 24) (+ 1 (min (min (min (min (/ (+ v1 -15) 16) (+ v2 -1)) (min (/ (+ v1 -14) 16) (/ (- v1 13) 16))) (min (min (/ (+ v1 -2) 16) (/ (+ v1 -1) 16)) (min (/ (+ v1 1) 16) (/ (+ v3 -2) 16)))) (min (min (min (/ (+ v5 -1) 16) (/ (+ v6 -2) 16)) (min (/ (+ v6 -1) 16) 23)) (min (min (/ (+ v3 -1) 16) (/ (+ v4 -2) 16)) (min (/ (+ v4 -1) 16) (/ (+ v5 -2) 16))))))) 0) (max (min v0 24) 0)),-1,24,64504,5057,3.038340851,Time Limit : 1.5324140769999999,
7,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 208 ) 192 ) ) ( / ( - v5 207 ) 192 ) ) ( / ( - v5 206 ) 192 ) ) ( / ( - v5 205 ) 192 ) ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 4 ) 192 ) ) ( / ( - v5 3 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (+ 1 (min 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (+ (min (min v1 v2) (min v3 v4)) -1) (min v2 (/ (- v5 208) 192))) (min (min (/ (- v5 207) 192) (/ (+ v5 -206) 192)) (min (/ (- v5 205) 192) (/ (- v5 191) 192)))) (min (min (/ (+ v5 -2) 192) (/ (+ v5 -1) 192)) (min (/ (+ v5 -4) 192) (/ (- v5 3) 192)))) (min (min (/ (- v6 208) 192) (/ (+ v6 -207) 192)) (min (/ (- v6 210) 192) (/ (- v6 209) 192)))) (min (min (/ (+ v6 -206) 192) (/ (- v6 205) 192)) (min (/ (+ v6 -204) 192) (/ (- v6 203) 192)))) (min (min (/ (+ v6 -191) 192) (/ (+ v6 -190) 192)) (min (/ (- v6 194) 192) (/ (+ v6 -193) 192)))) (min (min (/ (- v6 3) 192) (/ (+ v6 -2) 192)) (min (/ (+ v6 -189) 192) (/ (+ v6 -4) 192)))) (min (min (/ (+ 2 v6) 192) (/ (+ 3 v6) 192)) (min (/ (+ v6 -1) 192) (/ (+ 1 v6) 192)))) (min (min (/ (+ v12 -1) 192) (/ (+ (- (+ -203 (+ v8 v7)) (""%"" (+ -203 (+ v8 v7)) 2)) (+ -1 (+ (* v9 -384) (* v10 -1)))) 192)) (min (/ (+ (- (+ -209 (+ v8 v7)) (""%"" (+ (+ v8 v7) 209) 2)) (+ -1 (+ (* v9 -384) (* v10 -1)))) 192) (/ (+ v11 -1) 192)))) (min (min (/ (+ v13 -1) 192) (/ (+ v14 -1) 192)) (min (/ (+ v15 -1) 192) (/ (+ (- (+ -209 (+ v8 v7)) (""%"" (+ (+ v8 v7) 209) 2)) (+ (* v9 -384) (* v10 -1))) 192)))) (min (min (/ (+ v16 -178) 192) (/ (+ v17 -184) 192)) (min (/ (+ v17 -182) 192) (/ (+ v17 -178) 192)))) (min (min (/ (+ v19 -178) 192) (/ (+ v20 -182) 192)) (min (/ (+ v18 -182) 192) (/ (+ v18 -184) 192)))) (min (min (/ (+ v20 -178) 192) (/ (+ v21 -182) 192)) (min (/ (- v22 2) 192) (/ (+ v22 -1) 192)))) (min (min (/ (+ v23 -2) 192) (/ (+ v23 -1) 192)) (min (/ (+ v24 -4) 192) (/ (+ v24 -2) 192)))) (min (min (/ (+ v25 -2) 192) (/ (+ v25 -1) 192)) (min (/ (+ v24 -1) 192) (/ (+ v25 -4) 192))))))) 0) (max (min v0 2) 0))",-1,22,81457,6802,3.008753121,Time Limit : 1.5026212270000001,
8,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (+ 1 (min (min (min (min (min (min (min (/ (+ v17 -184) 192) (/ (+ v17 -182) 192)) (min (/ (+ v17 -178) 192) (/ (+ v18 -184) 192))) (min (min (min (min (min (min (min (min (min (+ (min (min v1 v2) (min v3 v4)) -1) (min v2 (/ (- v5 191) 192))) (min (min (/ (- v6 210) 192) (/ (- v6 209) 192)) (min (/ (+ v5 -2) 192) (/ (+ v5 -1) 192)))) (min (min (/ (+ v6 -206) 192) (/ (+ v6 -205) 192)) (min (/ (+ v6 -208) 192) (/ (- v6 207) 192)))) (min (min (/ (- v6 204) 192) (/ (+ v6 -203) 192)) (min (/ (- v6 194) 192) (/ (+ v6 -193) 192)))) (min (min (/ (- v6 189) 192) (/ (+ v6 -4) 192)) (min (/ (- v6 191) 192) (/ (+ v6 -190) 192)))) (min (min (/ (+ v6 -1) 192) (/ (+ 1 v6) 192)) (min (/ (- v6 3) 192) (/ (+ v6 -2) 192)))) (min (min (/ (+ 2 v6) 192) (/ (+ v6 3) 192)) (min (/ (+ (* -1 (""%"" (- (+ v7 v8) 209) 2)) (+ (+ (* -384 v9) (* v10 -1)) (+ v7 (+ -210 v8)))) 192) (/ (+ v11 -1) 192)))) (min (/ (+ v12 -1) 192) (min (/ (+ (- (+ v8 (+ v7 -203)) (""%"" (+ v8 (+ v7 -203)) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192) (/ (+ v13 -1) 192)))) (min (min (/ (+ v14 -1) 192) (/ (+ v15 -1) 192)) (min (/ (- (* 2 (/ (- (+ v7 v8) 209) 2)) (+ (* 384 v9) v10)) 192) (/ (- v16 178) 192))))) (min (min (/ (+ v18 -182) 192) (/ (- v19 178) 192)) (min (/ (- v20 182) 192) (/ (+ v20 -178) 192)))) (min (min (/ (- v21 182) 192) (/ (+ v22 -2) 192)) (min (/ (+ v22 -1) 192) (/ (- v23 2) 192)))) (min (min (/ (+ v24 -2) 192) (/ (+ v24 -1) 192)) (min (/ (+ v23 -1) 192) (/ (+ v24 -4) 192)))) (min (min 1 (/ (+ v25 -1) 192)) (min (/ (+ v25 -4) 192) (/ (+ v25 -2) 192)))))) 0) (max (min v0 2) 0))",-1,22,81278,6795,3.008081356,Time Limit : 1.501558384,
9,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min v1 v2 ) 1 ) v2 ) ( / ( - v3 191 ) 192 ) ) ( / ( - v3 2 ) 192 ) ) ( / ( - v3 1 ) 192 ) ) ( / ( - v4 194 ) 192 ) ) ( / ( - v4 193 ) 192 ) ) ( / ( - v4 191 ) 192 ) ) ( / ( - v4 190 ) 192 ) ) ( / ( - v4 189 ) 192 ) ) ( / ( - v4 2 ) 192 ) ) ( / ( - v4 1 ) 192 ) ) ( / ( + v4 1 ) 192 ) ) ( / ( + v4 2 ) 192 ) ) ( / ( + v4 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 193 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - v9 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 189 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 15 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 178 ) 192 ) ) ( / ( - v10 182 ) 192 ) ) ( / ( - v10 178 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 11 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 182 ) 192 ) ) ( / ( - v11 2 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 2 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - v13 2 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min 2 v0) (min (min (min (+ (min (min (min (min (min (/ (+ v4 -189) 192) (/ (+ v4 -2) 192)) (min (/ (+ v4 -191) 192) (/ (+ v4 -190) 192))) (min (min (min v2 (- (min v1 v2) 1)) (/ (+ v3 -191) 192)) (min (min (/ (+ v4 -194) 192) (/ (+ v4 -193) 192)) (min (/ (+ v3 -2) 192) (/ (+ v3 -1) 192))))) (min (min (/ (+ v4 -1) 192) (/ (+ 1 v4) 192)) (min (/ (+ 2 v4) 192) (/ (+ v4 3) 192)))) (min (/ (+ (- (+ (+ v5 v6) -193) (""%"" (+ (+ v5 v6) -193) -2)) (+ -1 (+ (* v7 -384) (* v8 -1)))) 192) (/ (+ v9 -1) 192))) 1) (+ (min (min (/ (+ v10 -182) 192) (/ (+ v10 -178) 192)) (min (/ (+ (* 2 (/ (+ (+ v5 v6) -189) 2)) (+ -1 (+ (* v7 -384) (* v8 -1)))) 192) (/ (- (- (+ (+ v5 v6) -193) (""%"" (+ (+ v5 v6) -193) -2)) (+ (* v7 384) v8)) 192))) 1)) (min (+ 1 (min (/ (- (- (+ (+ v5 v6) -193) (""%"" (+ (+ v5 v6) -193) -2)) (+ (* v7 384) v8)) 192) (/ (+ v11 -2) 192))) (min (/ (+ 190 v12) 192) (/ (+ 191 v11) 192)))) (min (min 2 (/ (+ 191 v13) 192)) (min (/ (+ 191 v12) 192) (/ (+ 190 v13) 192))))) 0) (max (min 2 v0) 0))",-1,16,75464,7901,3.082391757,Time Limit : 1.5753831090000001,
10,( <= ( max ( min ( - ( + v0 v1 ) 1 ) v2 ) v1 ) ( max ( min ( + v0 v1 ) v2 ) ( + v1 1 ) ) ),1/0,false,(<= (min (- (+ v0 v1) 1) v2) (max (min (+ v0 v1) v2) (+ v1 1))),-1,11,73883,7635,3.0131298410000005,Time Limit : 1.500154327,
