index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
1,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( max ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 5 ) ) ( / v0 2 ) ) 2 ) ( + ( / v0 4 ) v1 ) ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(<= (max (/ (- 17 (""%"" v0 4)) 4) (+ (max (min (/ (+ (* v1 2) (+ 0 (/ v0 2))) 2) (/ (+ (+ (""%"" v0 2) 5) (+ 0 (/ v0 2))) 2)) (+ v1 (/ v0 4))) (+ (* (/ (- v0 6) 4) -1) (+ 2 (* v1 -1))))) 1024)",-1,7,87879,18,3.0277135090000002,Time Limit : 1.519735807,
2,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 20 ) ) ( / v0 2 ) ) 2 ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(<= (max (/ (- 17 (""%"" v0 4)) 4) (+ (/ (+ (min (* v1 2) (+ (""%"" v0 2) 20)) (/ v0 2)) 2) (+ (* (/ (- v0 6) 4) -1) (+ 2 (* v1 -1))))) 1024)",-1,11,105142,1050,3.014684755,Time Limit : 1.500610085,
3,( <= ( max ( / ( - 8 ( % ( + ( * v0 161 ) v1 ) 2 ) ) 2 ) ( + ( - ( / ( + ( min ( * v2 2 ) 159 ) ( + ( * v0 161 ) v1 ) ) 2 ) ( + ( / ( - ( + ( * v0 161 ) v1 ) 3 ) 2 ) v2 ) ) 2 ) ) 1024 ),1/0,false,"(<= (max (/ (+ 8 (""%"" (+ (* v0 161) v1) 2)) 2) (+ (/ (+ (+ (* v0 161) v1) (min (* 2 v2) 159)) 2) (+ (/ (+ (* v0 161) (+ v1 -3)) -2) (+ 2 (* v2 -1))))) 1024)",-1,21,108451,20,3.009970162,Time Limit : 1.5007508299999999,
4,( <= ( max ( max ( min v0 12 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 11 ) 1 ) ) 0 ) ( max ( min v0 12 ) 0 ) ),1/0,false,(<= (max (max (min v0 12) (+ 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (/ (- v1 15) 16) (- v2 1)) (/ (- v1 14) 16)) (/ (+ v1 -13) 16)) (/ (+ v1 -2) 16)) (/ (+ v1 -1) 16)) (/ (+ v1 1) 16)) (/ (+ v3 -2) 16)) (/ (- v3 1) 16)) (/ (+ v4 -2) 16)) (/ (- v4 1) 16)) (/ (+ v5 -2) 16)) (/ (+ v5 -1) 16)) (/ (+ v6 -2) 16)) (/ (+ v6 -1) 16)) 11))) 0) (max (min v0 12) 0)),-1,12,98202,7602,3.071072754,Time Limit : 1.562848138,
5,( <= ( max ( max ( min ( / ( + v0 131 ) 144 ) 2 ) ( + ( min ( / ( - ( min ( + ( min ( min ( min ( min ( min ( min ( - ( min ( / ( + ( + v1 v2 ) 25 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) v6 ) ( - ( min ( / ( + ( + v1 v2 ) 29 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) ) ( + v7 13 ) ) v8 ) v9 ) ( + v7 15 ) ) 128 ) v8 ) 140 ) 144 ) 1 ) 1 ) ) 0 ) ( max ( min ( / ( + v0 131 ) 144 ) 2 ) 0 ) ),1/0,false,(<= (max (max (min (/ (+ v0 131) 144) 2) (+ 1 (min (/ (+ (min (min (min (min (min (min (min (+ (min (/ (+ (+ v1 v2) 25) 2) v3) (+ (* -288 v4) (* -1 v5))) v6) (+ (min v3 (/ (+ (+ v1 v2) 29) 2)) (+ (* -288 v4) (* -1 v5)))) (+ v7 13)) v8) v9) (+ v7 15)) (+ v8 -128)) -12) 144) 1))) 0) (max (min (/ (+ v0 131) 144) 2) 0)),-1,12,59769,18849,3.009485906,Time Limit : 1.500473354,
6,( <= ( max ( max ( min v0 24 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 23 ) 1 ) ) 0 ) ( max ( min v0 24 ) 0 ) ),1/0,false,(<= (max (max (min v0 24) (+ 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (/ (- v1 15) 16) (- v2 1)) (/ (- v1 14) 16)) (/ (+ v1 -13) 16)) (/ (+ v1 -2) 16)) (/ (+ v1 -1) 16)) (/ (+ v1 1) 16)) (/ (+ v3 -2) 16)) (/ (- v3 1) 16)) (/ (+ v4 -2) 16)) (/ (- v4 1) 16)) (/ (+ v5 -2) 16)) (/ (+ v5 -1) 16)) (/ (+ v6 -2) 16)) (/ (+ v6 -1) 16)) 23))) 0) (max (min v0 24) 0)),-1,11,93267,6044,3.01046054,Time Limit : 1.500522268,
7,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 208 ) 192 ) ) ( / ( - v5 207 ) 192 ) ) ( / ( - v5 206 ) 192 ) ) ( / ( - v5 205 ) 192 ) ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 4 ) 192 ) ) ( / ( - v5 3 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (+ 1 (min 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (- (min (min (min v1 v2) v3) v4) 1)) (/ (+ v5 -208) 192)) (/ (- v5 207) 192)) (/ (+ v5 -206) 192)) (/ (+ v5 -205) 192)) (/ (+ v5 -191) 192)) (/ (+ v5 -4) 192)) (/ (+ v5 -3) 192)) (/ (+ v5 -2) 192)) (/ (+ v5 -1) 192)) (/ (- v6 210) 192)) (/ (+ v6 -209) 192)) (/ (+ v6 -208) 192)) (/ (+ v6 -207) 192)) (/ (+ v6 -206) 192)) (/ (+ v6 -205) 192)) (/ (- v6 204) 192)) (/ (- v6 203) 192)) (/ (- v6 194) 192)) (/ (- v6 193) 192)) (/ (- v6 191) 192)) (/ (+ v6 -190) 192)) (/ (+ v6 -189) 192)) (/ (+ v6 -4) 192)) (/ (+ v6 -3) 192)) (/ (- v6 2) 192)) (/ (+ v6 -1) 192)) (/ (+ 1 v6) 192)) (/ (+ 2 v6) 192)) (/ (+ 3 v6) 192)) (/ (+ (* 2 (/ (+ (+ v7 v8) -209) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (- v11 1) 192)) (/ (- v12 1) 192)) (/ (+ (- (+ v7 (+ v8 -203)) (""%"" (+ (+ v7 v8) 203) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (+ v13 -1) 192)) (/ (+ v14 -1) 192)) (/ (- v15 1) 192)) (/ (+ (* 2 (/ (+ (+ v7 v8) -209) 2)) (+ (* -384 v9) (* v10 -1))) 192)) (/ (+ v16 -178) 192)) (/ (- v17 184) 192)) (/ (- v17 182) 192)) (/ (+ v17 -178) 192)) (/ (+ v18 -184) 192)) (/ (- v18 182) 192)) (/ (+ v19 -178) 192)) (/ (+ v20 -182) 192)) (/ (+ v20 -178) 192)) (/ (- v21 182) 192)) (/ (+ v22 -2) 192)) (/ (- v22 1) 192)) (/ (+ v23 -2) 192)) (/ (+ v23 -1) 192)) (/ (+ v24 -4) 192)) (/ (- v24 2) 192)) (/ (- v24 1) 192)) (/ (+ v25 -4) 192)) (/ (+ v25 -2) 192)) (/ (+ v25 -1) 192))))) 0) (max (min v0 2) 0))",-1,17,110853,1101,3.0226774359999995,Time Limit : 1.500881929,
8,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,(<= (max (max (min v0 2) (+ 1 (min 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (- (min (min (min v1 v2) v3) v4) 1)) (/ (+ v5 -191) 192)) (/ (+ v5 -2) 192)) (/ (+ v5 -1) 192)) (/ (- v6 210) 192)) (/ (- v6 209) 192)) (/ (+ v6 -208) 192)) (/ (+ v6 -207) 192)) (/ (+ v6 -206) 192)) (/ (+ v6 -205) 192)) (/ (- v6 204) 192)) (/ (+ v6 -203) 192)) (/ (- v6 194) 192)) (/ (- v6 193) 192)) (/ (+ v6 -191) 192)) (/ (+ v6 -190) 192)) (/ (- v6 189) 192)) (/ (+ v6 -4) 192)) (/ (- v6 3) 192)) (/ (+ v6 -2) 192)) (/ (- v6 1) 192)) (/ (+ 1 v6) 192)) (/ (+ 2 v6) 192)) (/ (+ v6 3) 192)) (/ (+ (* 2 (/ (- (+ v7 v8) 209) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (- v11 1) 192)) (/ (+ v12 -1) 192)) (/ (+ (* 2 (/ (+ v7 (+ v8 -203)) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (- v13 1) 192)) (/ (- v14 1) 192)) (/ (- v15 1) 192)) (/ (+ (* 2 (/ (- (+ v7 v8) 31) 2)) (+ (* -384 v9) (+ -178 (* v10 -1)))) 192)) (/ (+ v16 -178) 192)) (/ (- v17 184) 192)) (/ (+ v17 -182) 192)) (/ (+ v17 -178) 192)) (/ (+ v18 -184) 192)) (/ (+ v18 -182) 192)) (/ (+ v19 -178) 192)) (/ (+ v20 -182) 192)) (/ (+ v20 -178) 192)) (/ (+ v21 -182) 192)) (/ (+ v22 -2) 192)) (/ (+ v22 -1) 192)) (/ (- v23 2) 192)) (/ (+ v23 -1) 192)) (/ (+ v24 -4) 192)) (/ (+ v24 -2) 192)) (/ (- v24 1) 192)) (/ (+ v25 -4) 192)) (/ (+ v25 -2) 192)) (/ (+ v25 -1) 192))))) 0) (max (min v0 2) 0)),-1,16,110817,1101,3.022718417,Time Limit : 1.5000108490000001,
9,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min v1 v2 ) 1 ) v2 ) ( / ( - v3 191 ) 192 ) ) ( / ( - v3 2 ) 192 ) ) ( / ( - v3 1 ) 192 ) ) ( / ( - v4 194 ) 192 ) ) ( / ( - v4 193 ) 192 ) ) ( / ( - v4 191 ) 192 ) ) ( / ( - v4 190 ) 192 ) ) ( / ( - v4 189 ) 192 ) ) ( / ( - v4 2 ) 192 ) ) ( / ( - v4 1 ) 192 ) ) ( / ( + v4 1 ) 192 ) ) ( / ( + v4 2 ) 192 ) ) ( / ( + v4 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 193 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - v9 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 189 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 15 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 178 ) 192 ) ) ( / ( - v10 182 ) 192 ) ) ( / ( - v10 178 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 11 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 182 ) 192 ) ) ( / ( - v11 2 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 2 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - v13 2 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (+ 1 (min 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (- (min v1 v2) 1)) (/ (- v3 191) 192)) (/ (+ v3 -2) 192)) (/ (- v3 1) 192)) (/ (+ v4 -194) 192)) (/ (+ v4 -193) 192)) (/ (+ v4 -191) 192)) (/ (+ v4 -190) 192)) (/ (+ v4 -189) 192)) (/ (+ v4 -2) 192)) (/ (+ v4 -1) 192)) (/ (+ 1 v4) 192)) (/ (+ 2 v4) 192)) (/ (+ v4 3) 192)) (/ (+ (* (""%"" (- (+ v5 v6) 193) 2) -1) (+ (+ -194 (+ v5 v6)) (+ (* v7 -384) (* v8 -1)))) 192)) (/ (+ v9 -1) 192)) (/ (+ (- (+ (+ v5 v6) -189) (""%"" (+ (+ v5 v6) -189) -2)) (+ (* v8 -1) (+ -1 (* v7 -384)))) 192)) (/ (- (- (- (+ v5 v6) 193) (""%"" (- (+ v5 v6) 193) 2)) (+ (* v7 384) v8)) 192)) (/ (- v10 182) 192)) (/ (+ v10 -178) 192)) (/ (- (- (- (+ v5 v6) 193) (""%"" (- (+ v5 v6) 193) 2)) (+ (* v7 384) v8)) 192)) (/ (+ v11 -2) 192)) (/ (- v11 1) 192)) (/ (+ v12 -2) 192)) (/ (- v12 1) 192)) (/ (+ v13 -2) 192)) (/ (+ v13 -1) 192))))) 0) (max (min v0 2) 0))",-1,11,47094,18844,3.008881356,Time Limit : 1.500477424,
10,( <= ( max ( min ( - ( + v0 v1 ) 1 ) v2 ) v1 ) ( max ( min ( + v0 v1 ) v2 ) ( + v1 1 ) ) ),1/0,false,(! (< (max (min (+ v0 v1) v2) (+ v1 1)) (+ -1 (min (+ v0 v1) (+ 1 v2))))),-1,6,33521,13407,3.0054559250000006,Time Limit : 1.50063573,
