index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
1,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( max ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 5 ) ) ( / v0 2 ) ) 2 ) ( + ( / v0 4 ) v1 ) ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(<= (max (/ (- 17 (""%"" v0 4)) 4) (+ (max (/ (+ (/ v0 2) (min (* v1 2) (+ (""%"" v0 2) 5))) 2) (+ v1 (/ v0 4))) (+ (/ (- v0 6) -4) (+ 2 (* v1 -1))))) 1024)",-1,6,140059,0,3.0275316549999998,Time Limit : 0.751385392,
2,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 20 ) ) ( / v0 2 ) ) 2 ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(! (|| (< 4099 (- 17 (""%"" v0 4))) (< (- 1022 (+ (* v1 -1) (/ (- v0 6) -4))) (/ (+ (min (* v1 2) (+ (""%"" v0 2) 20)) (/ v0 2)) 2))))",-1,7,123313,0,3.034614111,Time Limit : 0.750311784,
3,( <= ( max ( / ( - 8 ( % ( + ( * v0 161 ) v1 ) 2 ) ) 2 ) ( + ( - ( / ( + ( min ( * v2 2 ) 159 ) ( + ( * v0 161 ) v1 ) ) 2 ) ( + ( / ( - ( + ( * v0 161 ) v1 ) 3 ) 2 ) v2 ) ) 2 ) ) 1024 ),1/0,false,"(<= (max (/ (+ 8 (""%"" (+ (* 161 v0) v1) 2)) 2) (+ (/ (+ (+ (* 161 v0) v1) (min (* 2 v2) 159)) 2) (+ (/ (+ (* 161 v0) (+ v1 -3)) -2) (+ 2 (* -1 v2))))) 1024)",-1,15,72684,0,3.021934478,Time Limit : 0.752805366,
4,( <= ( max ( max ( min v0 12 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 11 ) 1 ) ) 0 ) ( max ( min v0 12 ) 0 ) ),1/0,false,(<= (max (max (min v0 12) (+ 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (/ (- v1 15) 16) (- v2 1)) (/ (- v1 14) 16)) (/ (+ v1 -13) 16)) (/ (+ v1 -2) 16)) (/ (+ v1 -1) 16)) (/ (+ v1 1) 16)) (/ (+ v3 -2) 16)) (/ (- v3 1) 16)) (/ (+ v4 -2) 16)) (/ (- v4 1) 16)) (/ (+ v5 -2) 16)) (/ (+ v5 -1) 16)) (/ (+ v6 -2) 16)) (/ (+ v6 -1) 16)) 11))) 0) (max (min v0 12) 0)),-1,9,101361,0,3.021115342,Time Limit : 0.750084649,
5,( <= ( max ( max ( min ( / ( + v0 131 ) 144 ) 2 ) ( + ( min ( / ( - ( min ( + ( min ( min ( min ( min ( min ( min ( - ( min ( / ( + ( + v1 v2 ) 25 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) v6 ) ( - ( min ( / ( + ( + v1 v2 ) 29 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) ) ( + v7 13 ) ) v8 ) v9 ) ( + v7 15 ) ) 128 ) v8 ) 140 ) 144 ) 1 ) 1 ) ) 0 ) ( max ( min ( / ( + v0 131 ) 144 ) 2 ) 0 ) ),1/0,false,(! (|| (|| 0 (&& (&& 1 (< (min (/ (+ v0 131) 144) 2) 2)) (< (+ (* (+ (+ (max (min (/ (+ v0 131) 144) 2) 0) -1) 1) 144) -1) (+ (min (min (min (min (min (min (min (+ (min (/ (+ (+ v1 v2) 25) 2) v3) (* (+ (* v4 288) v5) -1)) v6) (+ (min v3 (/ (+ (+ v1 v2) 29) 2)) (* (+ (* v4 288) v5) -1))) (+ v7 13)) v8) v9) (+ v7 15)) (+ v8 -128)) -12)))) 0)),-1,3,116331,0,3.050858711,Time Limit : 0.770338924,
6,( <= ( max ( max ( min v0 24 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 23 ) 1 ) ) 0 ) ( max ( min v0 24 ) 0 ) ),1/0,false,(<= (max (max (min v0 24) (+ 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (/ (- v1 15) 16) (- v2 1)) (/ (- v1 14) 16)) (/ (+ v1 -13) 16)) (/ (+ v1 -2) 16)) (/ (+ v1 -1) 16)) (/ (+ v1 1) 16)) (/ (+ v3 -2) 16)) (/ (- v3 1) 16)) (/ (+ v4 -2) 16)) (/ (- v4 1) 16)) (/ (+ v5 -2) 16)) (/ (+ v5 -1) 16)) (/ (+ v6 -2) 16)) (/ (+ v6 -1) 16)) 23))) 0) (max (min v0 24) 0)),-1,9,100041,55,3.0243732959999994,Time Limit : 0.750039464,
7,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 208 ) 192 ) ) ( / ( - v5 207 ) 192 ) ) ( / ( - v5 206 ) 192 ) ) ( / ( - v5 205 ) 192 ) ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 4 ) 192 ) ) ( / ( - v5 3 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (+ 1 (min 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (- (min (min (min v1 v2) v3) v4) 1)) (/ (- v5 208) 192)) (/ (+ v5 -207) 192)) (/ (+ v5 -206) 192)) (/ (+ v5 -205) 192)) (/ (+ v5 -191) 192)) (/ (+ v5 -4) 192)) (/ (+ v5 -3) 192)) (/ (+ v5 -2) 192)) (/ (+ v5 -1) 192)) (/ (- v6 210) 192)) (/ (- v6 209) 192)) (/ (+ v6 -208) 192)) (/ (+ v6 -207) 192)) (/ (+ v6 -206) 192)) (/ (+ v6 -205) 192)) (/ (+ v6 -204) 192)) (/ (- v6 203) 192)) (/ (- v6 194) 192)) (/ (- v6 193) 192)) (/ (+ v6 -191) 192)) (/ (- v6 190) 192)) (/ (+ v6 -189) 192)) (/ (+ v6 -4) 192)) (/ (+ v6 -3) 192)) (/ (+ v6 -2) 192)) (/ (+ v6 -1) 192)) (/ (+ 1 v6) 192)) (/ (+ 2 v6) 192)) (/ (+ 3 v6) 192)) (/ (+ (* 2 (/ (+ (+ v7 v8) -209) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (- v11 1) 192)) (/ (+ v12 -1) 192)) (/ (+ (- (+ v7 (+ v8 -203)) (""%"" (+ v7 (+ v8 -203)) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (+ v13 -1) 192)) (/ (+ v14 -1) 192)) (/ (- v15 1) 192)) (/ (+ (- (+ v7 (+ v8 -31)) (""%"" (+ (+ v7 v8) 31) 2)) (+ (+ (* -384 v9) (* v10 -1)) -178)) 192)) (/ (+ v16 -178) 192)) (/ (+ v17 -184) 192)) (/ (- v17 182) 192)) (/ (+ v17 -178) 192)) (/ (+ v18 -184) 192)) (/ (+ v18 -182) 192)) (/ (+ v19 -178) 192)) (/ (+ v20 -182) 192)) (/ (+ v20 -178) 192)) (/ (- v21 182) 192)) (/ (+ v22 -2) 192)) (/ (+ v22 -1) 192)) (/ (+ v23 -2) 192)) (/ (+ v23 -1) 192)) (/ (+ v24 -4) 192)) (/ (+ v24 -2) 192)) (/ (- v24 1) 192)) (/ (+ v25 -4) 192)) (/ (+ v25 -2) 192)) (/ (+ v25 -1) 192))))) 0) (max (min v0 2) 0))",-1,8,112313,68,3.0250447480000004,Time Limit : 0.750115516,
8,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,(<= (max (max (min v0 2) (+ 1 (min 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (- (min (min (min v1 v2) v3) v4) 1)) (/ (+ v5 -191) 192)) (/ (+ v5 -2) 192)) (/ (+ v5 -1) 192)) (/ (+ v6 -210) 192)) (/ (- v6 209) 192)) (/ (- v6 208) 192)) (/ (- v6 207) 192)) (/ (+ v6 -206) 192)) (/ (+ v6 -205) 192)) (/ (- v6 204) 192)) (/ (- v6 203) 192)) (/ (+ v6 -194) 192)) (/ (+ v6 -193) 192)) (/ (+ v6 -191) 192)) (/ (+ v6 -190) 192)) (/ (- v6 189) 192)) (/ (- v6 4) 192)) (/ (+ v6 -3) 192)) (/ (+ v6 -2) 192)) (/ (+ v6 -1) 192)) (/ (+ 1 v6) 192)) (/ (+ 2 v6) 192)) (/ (+ v6 3) 192)) (/ (+ (* 2 (/ (- (+ v7 v8) 209) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (+ v11 -1) 192)) (/ (+ v12 -1) 192)) (/ (+ (* 2 (/ (+ v8 (+ v7 -203)) 2)) (+ -1 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (- v13 1) 192)) (/ (+ v14 -1) 192)) (/ (+ v15 -1) 192)) (/ (+ (* 2 (/ (+ v7 (+ v8 -31)) 2)) (+ (* -384 v9) (+ -178 (* v10 -1)))) 192)) (/ (- v16 178) 192)) (/ (- v17 184) 192)) (/ (- v17 182) 192)) (/ (+ v17 -178) 192)) (/ (+ v18 -184) 192)) (/ (+ v18 -182) 192)) (/ (- v19 178) 192)) (/ (+ v20 -182) 192)) (/ (- v20 178) 192)) (/ (- v21 182) 192)) (/ (+ v22 -2) 192)) (/ (+ v22 -1) 192)) (/ (+ v23 -2) 192)) (/ (+ v23 -1) 192)) (/ (- v24 4) 192)) (/ (+ v24 -2) 192)) (/ (+ v24 -1) 192)) (/ (- v25 4) 192)) (/ (+ v25 -2) 192)) (/ (+ v25 -1) 192))))) 0) (max (min v0 2) 0)),-1,7,122808,12,3.033726809,Time Limit : 0.751916335,
9,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min v1 v2 ) 1 ) v2 ) ( / ( - v3 191 ) 192 ) ) ( / ( - v3 2 ) 192 ) ) ( / ( - v3 1 ) 192 ) ) ( / ( - v4 194 ) 192 ) ) ( / ( - v4 193 ) 192 ) ) ( / ( - v4 191 ) 192 ) ) ( / ( - v4 190 ) 192 ) ) ( / ( - v4 189 ) 192 ) ) ( / ( - v4 2 ) 192 ) ) ( / ( - v4 1 ) 192 ) ) ( / ( + v4 1 ) 192 ) ) ( / ( + v4 2 ) 192 ) ) ( / ( + v4 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 193 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - v9 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 189 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 15 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 178 ) 192 ) ) ( / ( - v10 182 ) 192 ) ) ( / ( - v10 178 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 11 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 182 ) 192 ) ) ( / ( - v11 2 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 2 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - v13 2 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,(<= (max (max (min v0 2) (+ 1 (min 1 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (- (min v1 v2) 1)) (/ (+ v3 -191) 192)) (/ (- v3 2) 192)) (/ (+ v3 -1) 192)) (/ (+ v4 -194) 192)) (/ (+ v4 -193) 192)) (/ (+ v4 -191) 192)) (/ (+ v4 -190) 192)) (/ (+ v4 -189) 192)) (/ (+ v4 -2) 192)) (/ (+ v4 -1) 192)) (/ (+ 1 v4) 192)) (/ (+ 2 v4) 192)) (/ (+ v4 3) 192)) (/ (+ (* 2 (/ (+ (+ v5 v6) -193) 2)) (+ -1 (+ (* -384 v7) (* v8 -1)))) 192)) (/ (+ v9 -1) 192)) (/ (+ (* 2 (/ (+ v5 (+ v6 -189)) 2)) (+ -1 (+ (* -384 v7) (* v8 -1)))) 192)) (/ (+ (* 2 (/ (+ (+ v5 v6) -15) 2)) (+ (+ (* -384 v7) (* v8 -1)) -178)) 192)) (/ (+ v10 -182) 192)) (/ (+ v10 -178) 192)) (/ (+ (* 2 (/ (+ (+ v5 v6) -11) 2)) (+ (+ (* -384 v7) (* v8 -1)) -182)) 192)) (/ (- v11 2) 192)) (/ (+ v11 -1) 192)) (/ (+ v12 -2) 192)) (/ (+ v12 -1) 192)) (/ (- v13 2) 192)) (/ (+ v13 -1) 192))))) 0) (max (min v0 2) 0)),-1,7,114272,17,3.0200243469999997,Time Limit : 0.75158158,
10,( <= ( max ( min ( - ( + v0 v1 ) 1 ) v2 ) v1 ) ( max ( min ( + v0 v1 ) v2 ) ( + v1 1 ) ) ),1/0,false,(<= (min (- (+ v0 v1) 1) v2) (max (min (+ v0 v1) v2) (+ v1 1))),-1,6,76612,3,3.120139986,Time Limit : 0.785838554,
