index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
5091,( max ( max ( / ( + ( + v0 v1 ) 62 ) 64 ) ( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ) ) v2 ),(max (/ (+ (+ v0 v1) 62) 64) (max (+ 2 (* 2 (/ (+ (+ v0 v1) 126) 128))) v2)),true,(max (/ (+ (+ v0 v1) 62) 64) (max (+ 2 (* 2 (/ (+ (+ v0 v1) 126) 128))) v2)),-1,70,56236,10530,5.010119272999999,Time Limit : 5.006710782,,( max ( max ( / ( + ( + v0 v1 ) 62 ) 64 ) ( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ) ) v2 ),10.0
5092,( min ( * 0 64 ) ( - v0 64 ) ),(+ -64 (min v0 64)),true,(+ -64 (min v0 64)),-1,84,66936,7038,5.007278141999999,Time Limit : 5.003002751,,( - ( min v0 64 ) 64 ),3.0
5093,( / ( - ( - v0 v1 ) 1 ) 8 ),(/ (+ (- v0 v1) -1) 8),true,(/ (+ (- v0 v1) -1) 8),-1,5,22,0,0.000406764,Saturation,,( / ( - ( - v0 v1 ) 1 ) 8 ),3.0
5094,( + ( * v0 2 ) 128 ),(+ (* v0 2) 128),true,(+ (* v0 2) 128),-1,2,7,0,0.00014612099999999998,Saturation,,( + ( * v0 2 ) 128 ),1.0
5095,( min ( min ( min ( min ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ) ( - ( / ( + ( min v0 14 ) v1 ) 4 ) 3 ) ) ( / ( - ( + ( min v0 14 ) v1 ) 14 ) 4 ) ) ( / ( + ( + 0 ( - ( / ( + ( min v0 14 ) v1 ) 2 ) 7 ) ) 1 ) 2 ) ),(min (+ (* (min (+ v2 -7) v3) 2) -1) (min (+ -3 (/ (/ (+ v1 (min v0 14)) 2) 2)) (/ (min (+ v1 (+ (min v0 26) -26)) (+ v1 (min 0 (+ v0 -14)))) 4))),true,(min (+ (* (min (+ v2 -7) v3) 2) -1) (min (+ -3 (/ (/ (+ v1 (min v0 14)) 2) 2)) (/ (min (+ v1 (+ (min v0 26) -26)) (+ v1 (min 0 (+ v0 -14)))) 4))),-1,51,43444,3281,5.064641582,Time Limit : 5.061892889,,( min ( min ( min ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ) ( - ( / ( + ( min v0 14 ) v1 ) 4 ) 3 ) ) ( / ( - ( + ( min v0 14 ) v1 ) 14 ) 4 ) ),39.0
5096,( <= ( / ( + v0 7 ) 4 ) 0 ),(<= v0 -4),true,(<= v0 -4),-1,43,60874,14444,5.006376349999999,Time Limit : 5.002603687,,( <= v0 -4 ),6.0
5097,( min ( + ( / ( - ( + ( min v0 256 ) v1 ) 256 ) 2 ) ( * 0 8 ) ) ( + ( / ( - ( + ( min v0 256 ) v1 ) 256 ) 2 ) 121 ) ),(+ (/ (+ (min v0 256) v1) 2) -128),true,(+ (/ (+ (min v0 256) v1) 2) -128),-1,30,29775,6598,5.0247986939999985,Time Limit : 5.02291231,,( - ( / ( + ( min v0 256 ) v1 ) 2 ) 128 ),15.0
5098,( + ( - ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( - v0 7 ) v1 ) ) 1 ),"(+ (- (min v0 (+ (- v0 (""%"" (- v0 v1) 8)) 7)) (min v1 (+ v0 -7))) 1)",true,"(+ (- (min v0 (+ (- v0 (""%"" (- v0 v1) 8)) 7)) (min v1 (+ v0 -7))) 1)",-1,83,48463,4914,5.003649099999999,Time Limit : 5.000633222,,( + ( - ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( - v0 7 ) v1 ) ) 1 ),55.0
5099,( min ( - ( * ( min ( - v0 31 ) v1 ) 2 ) 1 ) ( - ( * ( + 0 ( min ( - v0 31 ) v1 ) ) 2 ) 1 ) ),(+ (* (min (+ v0 -31) v1) 2) -1),true,(+ (* (min (+ v0 -31) v1) 2) -1),-1,36,22329,6057,5.0629984079999995,Time Limit : 5.059824672,,( - ( * ( min ( - v0 31 ) v1 ) 2 ) 1 ),3.0
5100,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) ),"(+ 2 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7))))",true,"(+ 2 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7))))",-1,30,34601,5313,5.270238716,Time Limit : 5.268184922,,( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ),41.0
5101,( / ( - ( - ( / ( + v0 v1 ) 2 ) 7 ) ( / v1 2 ) ) 8 ),"(/ (+ -7 (/ (+ v0 (""%"" v1 2)) 2)) 8)",true,"(/ (+ -7 (/ (+ v0 (""%"" v1 2)) 2)) 8)",-1,177,13757,35908,5.011947419,Time Limit : 5.011507356,,( / ( - ( - ( / ( + v0 v1 ) 2 ) ( / v1 2 ) ) 7 ) 8 ),8.0
5102,( / ( - ( + ( min v0 64 ) v1 ) 64 ) 8 ),(+ (/ (+ v1 (min v0 64)) 8) -8),true,(+ (/ (+ v1 (min v0 64)) 8) -8),-1,77,79111,14991,5.007695367,Time Limit : 5.003076358,,( - ( / ( + ( min v0 64 ) v1 ) 8 ) 8 ),4.0
5103,( + ( / ( - v0 v1 ) 64 ) 1 ),(+ (/ (- v0 v1) 64) 1),true,(+ (/ (- v0 v1) 64) 1),-1,5,24,0,0.000455515,Saturation,,( + ( / ( - v0 v1 ) 64 ) 1 ),8.0
5104,( - ( * ( - ( * ( + v0 v1 ) 2 ) v2 ) v3 ) v4 ),(- (* v3 (- (* (+ v0 v1) 2) v2)) v4),true,(- (* v3 (- (* (+ v0 v1) 2) v2)) v4),-1,26,543,787,0.071050796,Saturation,,( - ( * ( - ( * ( + v0 v1 ) 2 ) v2 ) v3 ) v4 ),22.0
5105,( + 0 ( min ( - v0 7 ) v1 ) ),(min (- v0 7) v1),true,(min (- v0 7) v1),-1,88,98065,11022,5.008078424999998,Time Limit : 5.001246289,,( min ( - v0 7 ) v1 ),23.0
