index,start_expression,end_expression,result,best_expr,total_time,class,condition
2018,( == ( / ( + ( - ( max ( min ( + v0 v1 ) 1992 ) -7 ) ( max ( min v1 2009 ) 10 ) ) 33 ) 16 ) ( / ( + ( - ( max ( min ( + v0 v1 ) 1992 ) -7 ) ( max ( min v1 2009 ) 10 ) ) 33 ) 16 ) ),1/0,true,1,0.000691573,0,0
2019,( != ( / ( + ( * v0 4 ) 507 ) 502 ) 0 ),1/0,false,(!= (/ (+ (* 4 v0) 507) 502) 0),0.002624392,-1,0
2020,( == 0 ( - ( + 0 ( + ( * ( min ( - ( - ( max ( min ( / ( + ( + v0 v1 ) 47 ) 16 ) 124 ) 0 ) ( * v2 2 ) ) ( max ( min ( / v1 16 ) 126 ) 2 ) ) -1 ) 4 ) 12 ) ) 1 ) ),1/0,false,(== (* -4 (min (max 0 (min 124 (/ (+ (+ v0 v1) 47) 16))) (+ -1 (+ (* v2 2) (max 2 (min 126 (/ v1 16))))))) (- 11 (* 4 (+ (* v2 2) (max 2 (min 126 (/ v1 16))))))),3.999366113,-1,0
2021,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * 0 4 ) v0 ) 0 ) ( + ( + ( * 0 4 ) 0 ) v0 ) ) ) ( >= ( + ( + ( * 1 4 ) v0 ) 3 ) ( + ( + ( * 1 4 ) ( - ( + 4 0 ) 1 ) ) v0 ) ) ) ( <= v1 ( + 0 v1 ) ) ) ( >= ( + v1 124 ) ( + ( - ( + 125 0 ) 1 ) v1 ) ) ) ( <= v2 v2 ) ) ( >= v2 v2 ) ),1/0,true,1,0.001884959,0,0
2022,( <= ( max ( + ( min ( min ( min 1999 1999 ) ( - ( min ( + v1 v2 ) 2000 ) 1 ) ) ( - ( + ( - v3 10 ) 518 ) 1 ) ) 1 ) ( min ( max ( max ( max 0 0 ) ( max v2 0 ) ) ( - v3 10 ) ) ( + 518 ( - v3 10 ) ) ) ) ( min ( max ( max ( max 0 0 ) ( max v2 0 ) ) ( - v3 10 ) ) ( + 518 ( - v3 10 ) ) ) ),1/0,false,(<= (min (min (+ v2 v1) 2000) (+ 508 v3)) (max (+ -10 v3) (max 0 (max 0 v2)))),3.3417229969999998,-1,0
2152,( == ( min ( + ( max ( min ( * ( + ( min ( * v0 11 ) 53 ) v1 ) 2 ) 499 ) 0 ) ( * ( / ( + v2 26 ) 4 ) 4 ) ) ( + ( max ( min ( * ( + ( min ( * v0 11 ) 53 ) v1 ) 2 ) 477 ) -22 ) 23 ) ) ( min ( + ( max ( min ( * ( + ( min ( * v0 11 ) 53 ) v1 ) 2 ) 499 ) 0 ) ( * ( / ( + v2 26 ) 4 ) 4 ) ) ( + ( max ( min ( * ( + ( min ( * v0 11 ) 53 ) v1 ) 2 ) 477 ) -22 ) 23 ) ) ),1/0,true,1,0.001212623,0,0
2153,( == ( + ( * v0 336 ) ( + ( * v1 672 ) v2 ) ) ( + ( * v0 336 ) ( + ( * v1 672 ) v2 ) ) ),1/0,true,1,0.001126279,0,0
2694,( != ( / ( + v0 130 ) 128 ) 0 ),1/0,false,(!= (/ (+ v0 130) 128) 0),0.004701969,-1,0
2695,( == ( / ( - -165 ( % ( + v0 v1 ) 8 ) ) 8 ) ( - ( + ( / ( - -165 ( % ( + v0 v1 ) 8 ) ) 8 ) ( / ( + ( % ( + v0 v1 ) 8 ) 180 ) 8 ) ) 1 ) ),1/0,false,"(== (/ (+ (""%"" (+ v0 v1) 8) 180) 8) 1)",3.424358895,-1,0
2696,( == ( - v0 20 ) ( - ( + ( - v0 20 ) ( - 24 ( * ( max ( - ( * ( max ( min ( * ( / v1 125 ) 8 ) 125 ) 1 ) 2 ) v2 ) 2 ) 8 ) ) ) 1 ) ),1/0,false,(== (max (* (max (min 125 (* 8 (/ v1 125))) 1) 16) (* -1 (* 8 (- -2 v2)))) (+ (* 8 v2) (+ (- v0 -4) (- 19 v0)))),3.869024411,-1,0
3056,( == ( max ( * ( / v0 4 ) 4 ) ( + ( + ( * ( + ( / v0 4 ) v1 ) 4 ) v2 ) 21 ) ) ( max ( * ( / v0 4 ) 4 ) ( + ( + ( * ( + ( / v0 4 ) v1 ) 4 ) v2 ) 21 ) ) ),1/0,true,1,0.000849888,0,0
3057,( == ( min ( / ( + ( + v0 v1 ) 7 ) 8 ) ( - ( + ( / v1 8 ) ( * v2 84 ) ) 1 ) ) ( min ( / ( + ( + v0 v1 ) 7 ) 8 ) ( - ( + ( / v1 8 ) ( * v2 84 ) ) 1 ) ) ),1/0,true,1,0.000787155,0,0
3058,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * 0 4 ) v0 ) 0 ) ( + ( + ( * 0 4 ) v0 ) 0 ) ) ) ( >= ( + ( + ( * 3 4 ) v0 ) 3 ) ( + ( + ( * 3 4 ) v0 ) 3 ) ) ) ( <= ( / v1 125 ) ( / ( + ( + ( min ( * 0 8 ) 117 ) 0 ) v1 ) 125 ) ) ) ( >= ( / ( + v1 124 ) 125 ) ( / ( + ( + ( min ( * ( - ( + 16 0 ) 1 ) 8 ) 117 ) ( - ( + 8 0 ) 1 ) ) v1 ) 125 ) ) ) ( <= v2 v2 ) ) ( >= v2 v2 ) ),1/0,true,1,0.001253581,0,0
4218,( <= ( max ( + ( min ( / ( - ( - ( / ( + ( + v3 v4 ) 3 ) 4 ) ( / v4 4 ) ) 31 ) 32 ) ( - ( + 0 ( + ( / v2 32 ) 1 ) ) 1 ) ) 1 ) ( min ( max ( + ( / ( - ( / ( + ( + v3 v4 ) 3 ) 4 ) ( / v4 4 ) ) 32 ) 1 ) 0 ) ( + ( + ( / v2 32 ) 1 ) 0 ) ) ) ( min ( max ( + ( / ( - ( / ( + ( + v3 v4 ) 3 ) 4 ) ( / v4 4 ) ) 32 ) 1 ) 0 ) ( + ( + ( / v2 32 ) 1 ) 0 ) ) ),1/0,false,(<= (+ 1 (/ (min v2 (+ (/ (+ (+ v4 v3) 3) 4) (+ (/ v4 -4) -31))) 32)) (min (/ (+ v2 32) 32) (- 1 (min 1 (/ (+ (/ (+ (+ v4 v3) 3) 4) (/ v4 -4)) -32))))),3.3400739919999998,-1,0
4306,( == ( max ( min ( max ( / ( + ( - v0 v1 ) 3 ) 4 ) 0 ) ( - ( / ( - v2 v1 ) 4 ) 9 ) ) ( - ( / ( - ( min ( + ( + v3 v0 ) 36 ) v2 ) v1 ) 4 ) 9 ) ) ( max ( min ( max ( / ( + ( - v0 v1 ) 3 ) 4 ) 0 ) ( - ( / ( - v2 v1 ) 4 ) 9 ) ) ( - ( / ( - ( min ( + ( + v3 v0 ) 36 ) v2 ) v1 ) 4 ) 9 ) ) ),1/0,true,1,0.000830616,0,0
4858,( == ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 250 ) ( / v1 250 ) ) 8 ) 14 ) ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 250 ) ( / v1 250 ) ) 8 ) 14 ) ),1/0,true,1,0.000777093,0,0
4888,( < ( - ( + ( + ( * v0 2 ) v1 ) v2 ) 1 ) ( - ( + ( + ( * v0 2 ) v1 ) ( + v2 1 ) ) 1 ) ),1/0,true,1,0.001546378,0,0
4889,( == ( + ( * v0 4 ) ( + ( * v1 4 ) v2 ) ) ( + ( * v0 4 ) ( + ( * v1 4 ) v2 ) ) ),1/0,true,1,0.000729931,0,0
5227,( == ( * ( / ( * ( / ( + ( min ( * v0 125 ) ( - v1 125 ) ) v2 ) 250 ) 8 ) 8 ) 8 ) ( * ( / ( + ( min ( * v0 125 ) ( - v1 125 ) ) v2 ) 250 ) 8 ) ),1/0,true,1,0.000799882,0,0
5275,( == ( max ( * v0 2 ) ( + ( * ( + ( * v1 3 ) v0 ) 2 ) 1 ) ) ( max ( * v0 2 ) ( + ( * ( + ( * v1 3 ) v0 ) 2 ) 1 ) ) ),1/0,true,1,0.000694319,0,0
5287,( == ( min ( + ( min ( * ( + v0 v1 ) 4 ) 1999 ) ( * ( / ( + v2 7 ) 4 ) 4 ) ) ( + ( max ( * ( + v0 v1 ) 4 ) -3 ) 4 ) ) ( min ( + ( min ( * ( + v0 v1 ) 4 ) 1999 ) ( * ( / ( + v2 7 ) 4 ) 4 ) ) ( + ( max ( * ( + v0 v1 ) 4 ) -3 ) 4 ) ) ),1/0,true,1,0.000693579,0,0
5668,( == ( - ( + ( / v0 4 ) v1 ) ( min ( / v0 4 ) ( + ( + ( min ( - ( / ( - ( + v2 v0 ) 1 ) 4 ) ( * v3 32 ) ) ( + ( / v0 4 ) 31 ) ) ( * v4 -4 ) ) 7 ) ) ) ( - ( + ( / v0 4 ) v1 ) ( min ( / v0 4 ) ( + ( + ( min ( - ( / ( - ( + v2 v0 ) 1 ) 4 ) ( * v3 32 ) ) ( + ( / v0 4 ) 31 ) ) ( * v4 -4 ) ) 7 ) ) ) ),1/0,true,1,0.000709995,0,0
