index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
28134,( == ( * ( / ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) 8 ) 8 ) ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) ),1/0,false,"(== 0 (""%"" (+ (max 0 (min (+ (""%"" (+ (+ (* v2 501) (/ v1 2)) (+ (* v3 -1) -7)) 127) (+ (+ (* v2 501) (/ (+ v1 -238) -2)) (+ (+ (/ v1 2) 7) (+ v3 (* v2 -501))))) (+ 499 (min (+ (* v2 501) (/ v1 2)) (+ v3 -499))))) (min (+ (min (+ (+ (* v2 501) (/ v1 2)) (+ (/ v1 2) 366)) (+ (+ (* v2 501) (+ (/ v1 2) 247)) (min (+ (* v2 -501) 128) (+ (* v2 -501) (min v3 1125))))) (+ (max (- (* v2 501) (min v3 1125)) (+ -119 (/ v1 -2))) (+ (+ (* v2 -501) -128) (/ (+ v1 494) -2)))) (+ (+ (* v2 -501) (/ (+ v1 494) -2)) (max (max -380 (+ (+ (* v2 501) (/ v1 2)) (+ (* v3 -1) 119))) (+ (+ (+ (* v2 501) (/ v1 2)) (+ (* v3 -1) -7)) (""%"" (+ (+ v3 (* v2 -501)) (/ (+ v1 -14) -2)) 127)))))) 8))",-1,10,13398,315,3.151031131000002,Time Limit : 0.101871234,,false,5170.0
28136,( != ( / ( + v0 257 ) 252 ) 0 ),1/0,false,(!= (/ (+ v0 257) 252) 0),-1,1,10,0,0.000100311,Impossible (!= (/ (+ ?a ?x) ?b) ?c) Matched,,false,339.0
28157,( <= ( + ( - ( min ( * ( max v0 29 ) 32 ) 952 ) 955 ) ( - 960 ( min ( * ( max v0 29 ) 32 ) 952 ) ) ) ( - ( min ( * ( max v0 29 ) 32 ) 952 ) 955 ) ),1/0,true,0,-1,7,8188,3189,0.046900916,Goal 0 Matched,,false,100.0
28169,( != ( + ( / v0 127 ) 1 ) 0 ),1/0,false,(!= (+ (/ v0 127) 1) 0),-1,1,12,0,0.000101249,Impossible (!= (/ (+ ?a ?x) ?b) ?c) Matched,,false,304.0
28177,( <= ( max ( + ( min ( - ( + v1 v2 ) 1 ) ( - ( + ( - ( + ( * v3 68 ) v4 ) 10 ) ( - 139 ( max ( * v3 68 ) 71 ) ) ) 1 ) ) 1 ) ( min ( max v2 ( - ( + ( * v3 68 ) v4 ) 10 ) ) ( + ( - 139 ( max ( * v3 68 ) 71 ) ) ( - ( + ( * v3 68 ) v4 ) 10 ) ) ) ) ( min ( max v2 ( - ( + ( * v3 68 ) v4 ) 10 ) ) ( + ( - 139 ( max ( * v3 68 ) 71 ) ) ( - ( + ( * v3 68 ) v4 ) 10 ) ) ) ),1/0,false,(<= (min (+ v4 128) (min (+ v1 (+ v2 -1)) (+ (+ v4 57) (* 68 v3)))) (+ -1 (max v2 (+ (* 68 v3) (+ v4 -10))))),-1,9,14073,699,3.19947181,Time Limit : 0.100192486,,false,2077.0
28182,( == ( - ( * v0 4 ) 5 ) ( - ( + ( - ( * v0 4 ) 5 ) ( + ( * -1 4 ) 8 ) ) 1 ) ),1/0,true,0,-1,8,785,529,0.008731267,Goal 0 Matched,,false,54.0
28186,( < ( + v0 3 ) ( - ( min ( + ( max ( * v1 8 ) ( + ( + v0 1 ) 4 ) ) 1 ) ( + v0 1 ) ) 2 ) ),1/0,true,0,-1,8,319,281,0.10548056300000001,Goal 0 Matched,,false,101.0
28191,( == ( - ( min ( * ( max v0 6 ) 16 ) 108 ) 109 ) ( - ( + ( - ( min ( * ( max v0 6 ) 16 ) 108 ) 109 ) ( - 115 ( min ( * ( max v0 6 ) 16 ) 108 ) ) ) 1 ) ),1/0,true,0,-1,8,7257,1693,0.032814052,Goal 0 Matched,,false,86.0
28193,( == ( - ( * ( max ( min v0 0 ) -2 ) 8 ) 4 ) ( - ( + ( - ( * ( max ( min v0 0 ) -2 ) 8 ) 4 ) ( - 10 ( * ( max ( min v0 0 ) -2 ) 8 ) ) ) 1 ) ),1/0,true,0,-1,7,6090,720,0.015440512,Goal 0 Matched,,false,101.0
28198,( != ( / ( + v0 72 ) 68 ) 0 ),1/0,false,(!= (/ (+ v0 72) 68) 0),-1,1,10,0,0.000098101,Impossible (!= (/ (+ ?a ?x) ?b) ?c) Matched,,false,352.0
